RBP_Symbol
A1CF
ANKHD1
BOLL
BRUNOL4
BRUNOL5
BRUNOL6
CELF1
CNOT4
CPEB1
CPEB2
CPEB4
DAZ3
DAZAP1
DDX3X
EEF1A
EIF1AX
EIF4A1
EIF4G2
EIF5A
ELAVL1
ELAVL4
ENOX1
ESRP1
ESRP2
EWSR1
FMR1
FUBP1
FUBP3
FUS
FXR1
FXR2
G3BP1
HNRNPA0
HNRNPA1
HNRNPA1L2
HNRNPA2B1
HNRNPC
HNRNPCL1
HNRNPD
HNRNPDL
HNRNPF
HNRNPH1
HNRNPH2
HNRNPK
HNRNPL
HNRPLL
HNRNPM
HNRNPU
IGF2BP1
IGF2BP2
IGF2BP3
ILF2
KHDRBS1
KHDRBS2
KHDRBS3
KHSRP
LIN28A
MATR3
MBNL1
METTL3
MSI1
NOVA1
NONO
NUPL2
PABPC1
PABPC3
PABPC4
PABPC5
PABPN1
PABPN1L
PCBP1
PCBP2
PCBP3
PCBP4
PPRC1
PRR3
PTB3
PUF60
PUM1
PUM2
QKI
RALY
RBFOX1
RBFOX2
RBFOX3
RBM3
RBM4
RBM4B
RBM5
RBM6
RBM8A
RBM15B
RBM22
RBM23
RBM24
RBM25
RBM28
RBM38
RBM41
RBM42
RBM45
RBM46
RBM47
RBMS1
RBMS2
RBMS3
RC3H1
SF1
SAMD4A
SART3
SFPQ
SF3B1
SNRNP70
SNRPA
SRSF1
SRSF2
SRSF4
SRSF5
SRSF7
SRSF8
SRSF9
SRSF10
SRSF11
TAF15
TARDBP
TIA1
TRA2A
TRNAU1AP
TUT1
U2AF2
UNK
XPO1
YBX1
YBX2
ZC3H10
ZC3H14
ZCRB1
ZFP36
ZNF326
ZNF638
